ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity

[pop]
2RttW7RAu5nOAfq6YFvApB, 0.522, 0.385, 0, -7.355, 1, 0.0288, 0, 0.135, 0.236, 89.792, 207520, 4, 87
5Ck3e6z1bcSCes5gdo0Ddt, 0.633, 0.576, 6, -7.837, 1, 0.0522, 3.37e-05, 0.127, 0.296, 119.799, 256080, 4, 66
5kRPPEWFJIMox5qIkQkiz5, 0.427, 0.262, 7, -8.541, 1, 0.0276, 0, 0.068, 0.228, 104.085, 224867, 4, 76
2eAZfqOm4EnOF9VvN50Tyc, 0.703, 0.757, 1, -3.612, 1, 0.05, 0, 0.106, 0.696, 82.008, 221747, 4, 81
2s0Dn2mtvp94wUkyaB8nJc, 0.765, 0.621, 0, -3.827, 0, 0.025, 0, 0.0369, 0.798, 102.065, 212267, 4, 61
3u0qM9FSgL3zXi1Vn75b0i, 0.781, 0.853, 1, -3.68, 0, 0.0715, 0, 0.12, 0.624, 110.049, 250189, 4, 25
2cOUlop2ZakjOKe4WinesN, 0.726, 0.431, 0, -6.666, 1, 0.0554, 0, 0.054, 0.86, 85.889, 188174, 4, 80
2fUZ3aMp8amSaV0mp8s6rQ, 0.711, 0.882, 0, -4.276, 1, 0.0576, 0, 0.226, 0.56, 106.017, 167038, 4, 69
0wwPcA6wtMf6HUMpIRdeP7, 0.903, 0.621, 2, -8.132, 1, 0.0578, 0.000186, 0.0504, 0.553, 134.969, 267067, 4, 79
7oGZAicScQt96OAW4AruYy, 0.775, 0.68, 0, -5.508, 0, 0.0629, 0, 0.109, 0.656, 114.025, 207719, 4, 77
6875MeXyCW0wLyT72Eetmo, 0.668, 0.613, 4, -4.225, 1, 0.102, 0, 0.102, 0.498, 99.852, 181933, 4, 48
3E2Zh20GDCR9B1EYjfXWyv, 0.673, 0.637, 5, -4.518, 1, 0.0429, 0, 0.184, 0.678, 123.98, 201160, 4, 56
4EAV2cKiqKP5UPZmY6dejk, 0.67, 0.752, 1, -4.146, 1, 0.0374, 0, 0.0749, 0.442, 149.961, 204747, 4, 84
5uQOauh47VFt3B2kV9kRXw, 0.812, 0.621, 5, -8.3, 1, 0.0515, 0, 0.099, 0.847, 77.998, 128157, 4, 74
27PmvZoffODNFW2p7ehZTQ, 0.464, 0.771, 8, -4.503, 1, 0.336, 0, 0.063, 0.69, 158.777, 198237, 4, 71
1CnPYaKxTVb4LWOtiGOm0m, 0.617, 0.567, 0, -4.188, 1, 0.0828, 0, 0.0933, 0.505, 90.246, 217603, 4, 76
77UjLW8j5UAGAGVGhR5oUK, 0.735, 0.677, 2, -4.979, 1, 0.093, 2.17e-05, 0.111, 0.188, 100.584, 211440, 4, 81
7MRY4VpCuZvBmFda6ZCk2G, 0.479, 0.727, 4, -5.369, 1, 0.0357, 1.97e-05, 0.0644, 0.0577, 180.09, 253249, 4, 35
10Igtw8bSDyyFs7KIsKngZ, 0.755, 0.599, 8, -5.042, 1, 0.224, 0, 0.109, 0.755, 133.123, 216632, 4, 82
6fwdbPMwP1zVStm8FybmkO, 0.835, 0.413, 1, -9.81, 1, 0.396, 0.00133, 0.101, 0.111, 149.004, 258880, 4, 77
3y9cCbnBn0zjkJa2YkOj70, 0.803, 0.585, 0, -5.39, 1, 0.087, 2.87e-05, 0.201, 0.241, 146.02, 254080, 4, 63
4dVpf9jZjcORqGTLUaeYj9, 0.797, 0.844, 11, -5.482, 1, 0.275, 0, 0.087, 0.52, 170.142, 173600, 4, 81
4zIO3ilp5HvTeK3HJHxhMP, 0.448, 0.612, 2, -6.106, 1, 0.0708, 0, 0.08, 0.213, 97.773, 189467, 4, 49

[Rock]
46ydq5g3k17iLJs3qMDvO6, 0.675, 0.609, 7, -5.027, 0, 0.0586, 0, 0.0957, 0.378, 120.039, 208729, 4, 73
2eAZfqOm4EnOF9VvN50Tyc, 0.703, 0.757, 1, -3.612, 1, 0.05, 0, 0.106, 0.696, 82.008, 221747, 4, 81
0CokSRCu5hZgPxcZBaEzVE, 0.731, 0.794, 0, -5.126, 0, 0.0522, 2.59e-05, 0.112, 0.356, 139.994, 220454, 4, 81
4fwbGKNExPtPHbor1TBSY4, 0.397, 0.725, 7, -4.862, 1, 0.043, 0, 0.208, 0.358, 128.861, 228879, 4, 73
1KhljCoJ2TgDEldnnfTHHc, 0.762, 0.576, 1, -4.951, 0, 0.0829, 0, 0.0866, 0.316, 142.096, 221178, 4, 58
3mkJigBxWd5DJUsRuwHG3f, 0.661, 0.909, 11, -2.323, 0, 0.0494, 0, 0.305, 0.643, 125.021, 158493, 4, 55
4NYwy0R3NdvORX2B6OZXBT, 0.733, 0.408, 7, -7.834, 0, 0.0388, 3.92e-05, 0.11, 0.291, 94.947, 197854, 4, 73
