ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity,Class
10Igtw8bSDyyFs7KIsKngZ,0.755,0.599,8,-5.042,1,0.224,0,0.109,0.755,133.123,216632,4,82,1
6fwdbPMwP1zVStm8FybmkO,0.835,0.413,1,-9.81,1,0.396,0.00133,0.101,0.111,149.004,258880,4,77,1
3y9cCbnBn0zjkJa2YkOj70,0.803,0.585,0,-5.39,1,0.087,2.87E-05,0.201,0.241,146.02,254080,4,63,0
4dVpf9jZjcORqGTLUaeYj9,0.797,0.844,11,-5.482,1,0.275,0,0.087,0.52,170.142,173600,4,81,1
4zIO3ilp5HvTeK3HJHxhMP,0.448,0.612,2,-6.106,1,0.0708,0,0.08,0.213,97.773,189467,4,49,0
4QtiVmuA88tPQiCOHZuQ5b,0.792,0.895,1,-3.112,0,0.0589,0,0.0501,0.794,94.968,201526,4,82,1
1Q3bb5UXqAWr7Tjuno2xcq,0.314,0.397,11,-7.987,1,0.0299,0,0.72,0.129,99.782,371718,4,54,0
3nc420PXjTdBV5TN0gCFkS,0.506,0.693,0,-7.265,0,0.0412,9.58E-05,0.0891,0.221,139.912,216420,4,85,1
4r6eNCsrZnQWJzzvFh4nlg,0.638,0.832,8,-5.039,1,0.049,0,0.113,0.648,124.071,227893,4,62,0
2vwlzO0Qp8kfEtzTsCXfyE,0.53,0.422,5,-6.262,1,0.0342,0,0.107,0.349,119.964,221360,4,76,1
4EAV2cKiqKP5UPZmY6dejk,0.67,0.752,1,-4.146,1,0.0374,0,0.0749,0.442,149.961,204747,4,84,1
2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,1,0.0288,0,0.135,0.236,89.792,207520,4,87,1
2Zj4FUsMtu9PMuJsHbGbdv,0.669,0.78,7,-4.287,0,0.053,1.63E-06,0.143,0.738,139.945,212333,4,58,0
0qt5f5EL92o8Snzopsv0en,0.705,0.78,7,-6.267,1,0.0805,0.00152,0.115,0.457,142.028,218228,4,66,0
3Vo4wInECJQuz9BIBMOu8i,0.704,0.859,5,-4.877,0,0.0996,0,0.0215,0.926,105.115,217289,4,84,1
4dVpf9jZjcORqGTLUaeYj9,0.797,0.844,11,-5.482,1,0.275,0,0.087,0.52,170.142,173600,4,82,1
7py16W5fWYLFFS6BElKAjn,0.605,0.77,5,-3.645,0,0.0446,0,0.159,0.298,130.037,225915,4,71,0
2ANLarE8yHVsLWW21nj79M,0.843,0.359,0,-7.417,1,0.461,0,0.12,0.156,81.987,163944,4,75,1
40oKW22ZNNkEdZLJTScaQI,0.747,0.524,10,-6.807,0,0.245,0,0.2,0.363,140.053,213132,4,82,1
3RiPr603aXAoi4GHyXx0uy,0.49,0.743,0,-5.155,0,0.0409,7.21E-06,0.3,0.363,89.974,258827,4,79,1
0qvzXomUDJVaUboy2wMfiS,0.678,0.401,6,-8.408,0,0.0312,0,0.118,0.194,111.855,232852,4,76,1
7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0,0.0802,0,0.0931,0.931,95.977,233713,4,88,1
46lFttIf5hnUZMGvjK0Wxo,0.506,0.805,1,-4.119,1,0.0469,0.00193,0.0856,0.383,126.008,227074,4,76,1
2C9V4LiXnV59sBZ3bmGj2B,0.872,0.605,5,-7.595,0,0.0597,0.00596,0.107,0.609,120.009,206099,4,52,0
6SwRhMLwNqEi6alNPVG00n,0.658,0.535,9,-8.983,0,0.0573,0,0.2,0.419,110.684,227360,4,76,1
1OG4nxGMy72EklX2DwcN3Z,0.597,0.68,1,-7.104,1,0.0769,0.000143,0.111,0.195,119.946,188346,4,71,0
3WKg25vrbjJlkhsgl2W4p3,0.646,0.431,6,-8.517,1,0.0262,6.99E-06,0.113,0.292,90.034,220627,4,65,0
5EbX5xL3O2xT8FxCpYzgUO,0.315,0.563,9,-9.671,1,0.354,0.000242,0.0673,0.147,179.484,175517,4,71,0
0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,6,-5.335,1,0.149,1.10E-05,0.118,0.163,125.905,184560,4,90,1
56ZrTFkANjeAMiS14njg4E,0.625,0.855,1,-5.471,0,0.0389,0,0.357,0.668,124.977,182000,4,70,0
05mAIVLkIWc2d1UBYZBCp8,0.739,0.742,7,-4.586,1,0.0329,1.39E-06,0.229,0.659,124.016,189000,4,83,1
3WKz5JDH0St3Smips7NlOM,0.511,0.856,2,-3.763,1,0.0505,0.02,0.324,0.62,154.904,187467,4,59,0
08zJpaUQVi9FrKv2e32Bah,0.65,0.557,1,-7.762,1,0.312,0,0.11,0.4,129.285,240320,4,73,0
5W4vPDfwFNQqt7frRjL41t,0.709,0.698,1,-5.181,1,0.0788,0,0.272,0.754,143.949,182947,4,64,0
7gHs73wELdeycvS48JfIos,0.589,0.651,6,-5.097,1,0.0306,3.20E-06,0.111,0.166,90.011,212627,4,81,1
0b9oOr2ZgvyQu88wzixux9,0.854,0.463,5,-6.159,1,0.137,0,0.354,0.549,120.024,225773,4,81,1
270aLuFCbX32hhBr8MQyPM,0.645,0.541,10,-6.312,0,0.0385,0,0.325,0.411,95.061,181880,4,71,0
7IQwT5VzrCo7UcMRljkkmR,0.592,0.681,0,-5.597,1,0.141,0,0.142,0.491,147.016,217107,4,35,0
0mGJTKRIuCOJtiT4YkJHiv,0.698,0.869,6,-3.294,1,0.0468,0,0.121,0.714,125.005,203387,4,59,0
00vk0sEfb6mr2ehwSw0Uhn,0.773,0.849,8,-8.345,0,0.0587,0.0103,0.397,0.913,119.981,192227,4,59,0
3E2Zh20GDCR9B1EYjfXWyv,0.673,0.637,5,-4.518,1,0.0429,0,0.184,0.678,123.98,201160,4,56,0
5iUQMwxUPdJBFeGkePtM66,0.836,0.67,5,-6.907,0,0.23,0.000355,0.0837,0.556,107.018,305350,4,75,1
5wUUWVRvrciJqFitZF8R0P,0.643,0.541,2,-5.801,1,0.0426,0,0.102,0.165,119.501,311197,4,69,0
4fwbGKNExPtPHbor1TBSY4,0.397,0.725,7,-4.862,1,0.043,0,0.208,0.358,128.861,228879,4,73,0
46NBoIAHrmR7qcUGCIFEjR,0.367,0.915,9,-3.456,0,0.0488,5.81E-05,0.0905,0.365,110.169,207273,4,70,0
4BHzQ9C00ceJxfG16AlNWb,0.69,0.524,6,-8.39,0,0.103,3.16E-06,0.17,0.562,164.023,223080,4,73,0
6V9kwssTrwkKT72imgowj9,0.604,0.603,7,-6.324,0,0.0389,0,0.126,0.15,94.989,217413,4,66,0
0e7ipj03S05BNilyu5bRzt,0.587,0.535,5,-6.09,0,0.0898,6.56E-05,0.131,0.14,159.847,218147,4,92,1
6vECYJHxYmm3Ydt3fF01pE,0.887,0.584,11,-8.798,1,0.0381,0.000314,0.101,0.677,114.016,313684,4,73,0
2TRFIQpTqq12xGpFJEr0Ft,0.884,0.765,8,-3.865,1,0.0882,7.04E-06,0.118,0.594,99.987,224573,4,43,0
6IFwG4pnVPcpwX4kXFUbsV,0.768,0.593,5,-9.643,0,0.0463,0.000184,0.105,0.329,104.954,224507,4,55,0
2HWWsTZxnLSUdFZ4gjsP5N,0.581,0.725,0,-5.349,0,0.0592,0,0.304,0.394,89.989,227872,4,62,0
6Jl4RXW8Nyx8dyohnihJeT,0.554,0.645,6,-7.563,0,0.0665,0,0.21,0.142,105.513,221899,4,30,0
32lItqlMi4LBhb4k0BaSaC,0.67,0.654,4,-5.944,1,0.153,1.02E-06,0.071,0.438,180.024,227533,4,85,1
0TlLq3lA83rQOYtrqBqSct,0.912,0.412,7,-8.074,1,0.124,0.013,0.104,0.422,154.983,238614,4,89,1
2fZQIJew3nkNe99s2PKzul,0.965,0.414,1,-6.408,1,0.0713,0,0.0767,0.728,121.032,214648,4,77,1
7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,1,-6.638,0,0.102,5.39E-05,0.0958,0.421,150.011,177000,4,87,1
1f5cbQtDrykjarZVrShaDI,0.839,0.81,5,-5.274,0,0.0568,0,0.117,0.814,129.014,209269,4,81,1
1oc3jna2ablnfIKLYbKujl,0.67,0.853,8,-4.515,1,0.0884,0,0.0602,0.615,103.843,189000,4,35,0
5hTpBe8h35rJ67eAWHQsJx,0.941,0.335,5,-10.179,0,0.505,0,0.262,0.707,120.041,209640,4,79,1
6jMbPsH6lTOLs5n8Af26AG,0.699,0.282,7,-7.65,1,0.0374,1.23E-06,0.0981,0.359,79.776,159293,4,73,0
72Bz4ciRZPBcVSw0nrZDHi,0.714,0.559,8,-6.543,1,0.0515,0,0.088,0.411,95.979,207746,4,77,1
7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,1,0.0565,0,0.123,0.63,84.803,202533,4,80,1
7DsX5K72fewVGb47qj7Tbg,0.386,0.377,4,-9.372,0,0.0484,1.96E-06,0.0864,0.168,172.618,221596,3,73,0
2cOUlop2ZakjOKe4WinesN,0.726,0.431,0,-6.666,1,0.0554,0,0.054,0.86,85.889,188174,4,80,1
7Ezwtgfw7khBrpvaNPtMoT,0.414,0.807,10,-4.12,0,0.348,0,0.822,0.409,175.158,191901,4,60,0
39hnH8WdPmNT3Q3yzwC9Rg,0.926,0.336,0,-9.326,0,0.594,0,0.138,0.38,92.995,196600,4,66,0
1e1JKLEDKP7hEQzJfNAgPl,0.791,0.581,11,-7.323,0,0.286,0,0.35,0.438,162.99,181812,4,78,1
3Z2sglqDj1rDRMF5x0Sz2R,0.473,0.461,6,-6.474,0,0.333,0,0.0973,0.615,165.985,234213,4,64,0
6RD9GItAGZ3gbUbx14okHF,0.913,0.223,11,-12.421,0,0.321,8.78E-05,0.0786,0.35,139.968,212547,4,65,0
6XcfKZvJio9Z0fQy11GnNX,0.666,0.728,7,-5.808,1,0.0419,4.26E-06,0.0429,0.51,122.996,204878,4,79,1
2yJ9GVCLMmzBBfQAnfzlwr,0.927,0.535,6,-7.59,0,0.0911,0,0.136,0.336,112.96,313573,4,71,0
1XlrBhlkPAVRficvsd5qQ4,0.72,0.923,1,-3.678,1,0.0533,7.04E-06,0.0521,0.533,107.957,204587,4,43,0
3BtuIIrQlkujKPuWF2B85z,0.82,0.641,4,-7.811,0,0.116,5.07E-05,0.102,0.395,117.974,263373,4,76,1
6LTsvaebP6V9tJFvZxqi5M,0.852,0.764,8,-4.283,0,0.0631,0,0.336,0.266,132.981,207391,4,63,0
6YZdkObH88npeKrrkb8Ggf,0.724,0.904,8,-3.354,0,0.0966,0,0.226,0.846,90.999,200813,4,74,0
46jLy47W8rkf8rEX04gMKB,0.552,0.689,10,-6.444,0,0.0425,0,0.27,0.349,99.961,169773,4,68,0
2OALaHcDdKkjYEpAr0Qzab,0.655,0.666,5,-5.309,1,0.0612,2.12E-05,0.0683,0.272,102.977,181812,4,61,0
1CnPYaKxTVb4LWOtiGOm0m,0.617,0.567,0,-4.188,1,0.0828,0,0.0933,0.505,90.246,217603,4,76,1
0Og6ggyXEZMcKbE2PjclwV,0.698,0.591,0,-7.762,1,0.0898,0.00033,0.0919,0.244,103.967,211387,4,21,0
0GxQ1A5L9xnMOytbP6eKBG,0.799,0.597,5,-5.131,0,0.0611,5.66E-06,0.1,0.419,110.001,199849,4,83,1
104buTcnP2AsxqB7U1FIZ4,0.59,0.671,9,-6.098,1,0.0706,0,0.0604,0.438,149.982,169801,4,72,0
32xx0fAv3CIeGmNaWTHvEF,0.766,0.5,1,-7.626,1,0.152,0,0.108,0.495,107.045,220160,4,73,0
7rKKh8AGVXuNXgLBpTBTFH,0.549,0.861,10,-5.737,1,0.177,0.000122,0.101,0.354,189.711,198107,4,65,0
7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,-3.24,0,0.11,2.19E-05,0.0814,0.592,123.994,214847,4,89,1
6A8dnC0xkiuWN4BshmTB2I,0.617,0.642,8,-8.624,1,0.0334,0.157,0.0929,0.221,105.885,194013,4,67,0
7zBPzAjKAqQpcv8F8GCq5s,0.779,0.455,1,-15.025,1,0.28,0,0.177,0.197,140.181,153429,4,68,0
4G2Hbfwvn3oH7LxxPXjjGn,0.874,0.687,5,-5.253,0,0.0426,7.59E-05,0.324,0.92,116.054,178560,4,45,0
3y9cCbnBn0zjkJa2YkOj70,0.803,0.585,0,-5.39,1,0.087,2.87E-05,0.201,0.241,146.02,254080,4,63,0
1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,5,-2.729,1,0.0618,0,0.064,0.681,82.014,190947,4,95,1
60APt5N2NRaKWf5xzJdzyC,0.784,0.728,0,-4.549,0,0.0539,0,0.222,0.713,110.165,229160,4,62,0
4JIo8RztBbELr2gWJ5OGK6,0.534,0.642,9,-3.971,1,0.0504,0,0.29,0.131,92.963,249813,4,78,1
3iQlKJaVwZLU1B33b8L8zb,0.738,0.814,7,-4.414,0,0.0999,9.64E-06,0.126,0.483,119.041,225850,4,47,0
4cluDES4hQEUhmXj6TXkSo,0.726,0.787,4,-2.494,1,0.0738,0,0.0596,0.888,124.989,199987,4,72,0
7boPPE857KEqCIHNwFkDop,0.365,0.692,3,-4.586,0,0.0671,1.51E-06,0.0862,0.372,89.998,203400,4,37,0
2Za1AlJNvksouPPWbXpR2X,0.712,0.51,8,-8.162,1,0.0633,2.46E-05,0.112,0.268,122.964,240507,4,76,1
1trZGMI2CGyVT44STkpCoN,0.809,0.504,2,-3.201,1,0.15,0,0.0856,0.525,120.065,223969,4,66,0
17bkwgLoC3N53jSksfllYX,0.698,0.875,11,-4.665,1,0.0824,1.88E-06,0.0618,0.39,115.012,198281,4,51,0
6TaqooOXAEcijL6G1AWS2K,0.689,0.521,0,-5.845,1,0.132,8.41E-05,0.108,0.178,95.055,229747,4,76,1
6rrTr2HEAzlpC4KWZxF3S1,0.757,0.849,5,-3.424,0,0.0536,0,0.0878,0.826,150.036,228207,4,84,1
2CWnuF7ht55Ajyeg4WPvWu,0.665,0.86,4,-3.921,0,0.0761,0,0.281,0.372,139.973,209355,4,55,0
5uDASfU19gDxSjW8cnCaBp,0.886,0.427,6,-10.028,1,0.145,0.00099,0.0906,0.23,108.034,177184,4,80,1
3B54sVLJ402zGa6Xm4YGNe,0.726,0.769,6,-5.043,1,0.123,0.0101,0.104,0.733,97.985,233902,4,86,1
3QWjljChcOMkRDYSzF33Qr,0.87,0.502,5,-7.497,0,0.0549,0.00356,0.0916,0.673,82.53,160597,4,63,0
17JYzDCW1UTndfURuTydF2,0.736,0.756,11,-7.099,1,0.047,0.00577,0.106,0.712,117.016,231847,4,58,0
